RAdeg,DEJ2000,Plx,Vmag,Scat,SpType,HIP,ASCC,RV,e_RV,q_RV,o_RV
080.23199,+24.03543,   12.39,  9.320, 0.321,F7        g ,       ,  752179,   19.00,       ,B,   3
080.23398,+24.03726,   18.70,  9.123, 0.175,F8        g ,       ,  752180,   21.10,   1.79, ,   3
080.53851,+31.37268,    8.42,  8.025, 0.013,F5          ,  25078,  564871,   53.92,   0.74, ,   3
080.64497,+28.10185,    7.70,  9.576, 0.024,F0          ,  25112,  661018,  -26.60,       , ,   1
080.70562,+28.74695,    9.24,  8.913, 0.013,F8          ,  25141,  661031,   35.80,   1.00, ,   5
080.96358,+30.23671,    6.84,  9.417, 0.017,F8          ,  25237,  565114,   13.90,       , ,   1
081.00406,+29.72388,   46.00,  9.518, 0.259,F5          ,       ,  661087,   31.60,       , ,   1
081.30159,+34.86363,    4.99,  8.339, 0.018,F0          ,  25341,  565284,  -15.40,   2.20, ,   6
081.37499,+34.18636,    1.22,  6.679, 0.008,F2          ,  25363,  565327,   10.50,   3.70, ,   1
081.50681,+25.75978,   13.11,  8.403, 0.012,F5          ,  25400,  661190,   -5.43,   0.74, ,   3
081.52809,+22.82182,    6.95, 10.123, 0.414,F8          ,  25413,  752411,   18.00,       , ,   1
081.54956,+30.24459,    3.07,  9.682, 0.019,F2          ,  25418,  565409,   28.40,       , ,   1
081.65606,+26.99875,    8.67,  9.694, 0.018,F8          ,  25450,  661215,   -0.70,       , ,   1
081.75549,+27.61026,    4.76,  7.956, 0.009,F8          ,  25484,  661236,   17.86,   0.74, ,   2
081.75572,+27.61029,    5.19,  7.942,      ,F8          ,  25484,  661237,   17.86,   0.74, ,   2
081.79188,+24.21219,    5.40,  9.254, 0.017,F5          ,  25498,  752459,  -38.70,       , ,   1
081.85601,+21.48176,   13.30,  8.978, 0.246,B3+F8       ,       ,  752467,   21.00,       ,D,   2
081.93281,+24.33256,    4.84,  9.343, 0.016,F8          ,  25550,  752490,  -48.60,       , ,   1
082.00384,+33.76421,   29.47,  6.407, 0.007,F5          ,  25580,  565640,   12.10,   0.40, ,   1
082.19918,+23.95809,    8.97,  8.872, 0.017,F8          ,  25652,  752554,   -3.90,       , ,   1
082.31962,+32.19956,    8.27,  7.062, 0.007,F8          ,  25696,  565802,   14.35,   1.27, ,   2
082.37920,+27.84369,   22.00,  9.176, 0.219,F0          ,       ,  661370,    8.90,       , ,   1
082.41931,+29.18658,   11.30,  6.189, 0.007,F6 III      ,  25730,  661377,   13.49,   1.36, ,   2
082.52619,+34.68810,    9.89,  8.758, 0.136,F2          ,       ,  565898,   -0.60,       , ,   1
082.53250,+21.38036,  -14.50,  8.743, 0.166,F8          ,       ,  752637,   51.00,       , ,   1
082.61309,+26.03204,    6.65,  9.186, 0.017,F0          ,  25792,  661409,   -1.50,       , ,   1
082.61312,+26.03211,    6.76, 12.720,      ,F0          ,  25792, 2600729,   -1.50,       , ,   1
082.70131,+31.03758,   -6.80,  8.903, 0.159,F8          ,       ,  565980,   70.80,       , ,   1
082.76236,+26.58426,    4.03,  8.988, 0.019,F5          ,  25845,  661434,   22.10,       , ,   1
082.76242,+26.58419,    4.11,  9.032,      ,F5          ,  25845,  661435,   22.10,       , ,   1
082.83102,+24.00513,   24.00,  9.997, 0.418,F8          ,       ,  752724,   -5.70,       , ,   1
082.84472,+27.76915,   11.58,  7.421, 0.007,F8          ,  25871,  661454,  -18.14,   0.82, ,   2
082.97908,+29.01330,    3.40,  8.873, 0.221,F0          ,       ,  661482,   39.80,       , ,   1
083.00135,+24.99162,    6.58,  9.475, 0.014,F8 d        ,  25929,  752781,   36.90,   1.70, ,   6
083.05908,+29.19547,    6.98,  7.939, 0.008,F5          ,  25948,  661499,  -29.83,   2.44, ,   2
083.07148,+35.63246,    6.66,  8.381, 0.010,F5          ,  25957,  475172,   16.10,   3.80, ,   3
083.23290,+28.33613,   10.01,  8.711, 0.012,F2          ,  25997,  661549,   11.50,       , ,   1
083.26716,+24.36518,   11.89,  8.895, 0.155,F8          ,       ,  752873,  -28.80,       , ,   1
083.58957,+27.33050,    8.60,  8.098, 0.009,F0          ,  26134,  661651,  -40.32,   0.74, ,   4
083.71976,+31.63574,  -14.10,  9.429, 0.307,F0          ,       ,  566349,   11.90,       , ,   1
083.74371,+26.97245,   11.39,  7.568, 0.008,F7 V        ,  26192,  661707,  -26.39,   2.90, ,   2
083.77733,+30.92902,   11.44,  8.131, 0.012,F5          ,  26206,  566372,   35.74,   1.39, ,   2
083.77735,+30.92915,   11.13,  8.195, 0.101,F5          ,  26206,  566373,   35.74,   1.39, ,   2
083.85789,+22.43813,    5.78,  8.348, 0.012,F8          ,  26240,  753125,   42.80,       , ,   1
083.94014,+20.43789,   -0.12, 12.170,      ,F8          ,  26281, 2600747,   32.00,       , ,   1
083.94015,+20.43783,   -0.03,  9.407, 0.025,F8          ,  26281,  753153,   32.00,       , ,   1
083.99361,+24.74842,   10.00, 10.600, 0.439,F2 IV e     ,  26295,  753173,   22.60,       , ,   1
